Onset,Offset
0.001,0.026
0.091,0.149
0.218,0.278
9.52,9.579
9.631,9.687
9.743,9.801
9.857,9.917
9.974,10.034
10.095,10.156
10.219,10.278
10.357,10.406
11.441,11.5
11.557,11.614
11.674,11.739
11.803,11.859
11.923,11.99
12.056,12.111
12.179,12.245
12.314,12.37
12.437,12.505
12.572,12.63
12.695,12.762
12.833,12.889
12.952,13.022
13.091,13.156
13.218,13.289
13.365,13.422
60.764,60.82
60.876,60.937
60.992,61.054
61.116,61.173
64.192,64.251
64.302,64.359
64.413,64.475
76.968,77.017
77.068,77.127
77.188,77.249
77.307,77.362
77.428,77.49
77.553,77.614
77.678,77.74
77.807,77.869
77.938,78.003
78.062,78.126
78.191,78.254
78.316,78.376
78.44,78.501
78.566,78.633
78.699,78.763
78.826,78.89
78.951,79.02
79.083,79.149
79.208,79.271
79.338,79.405
79.47,79.542
79.607,79.675
79.736,79.805
79.871,79.946
80.023,80.098
80.155,80.245
80.295,80.357
80.413,80.478
80.528,80.593
80.662,80.731
80.783,80.849
80.912,80.981
81.037,81.105
81.159,81.23
81.284,81.354
81.412,81.493
81.543,81.612
81.668,81.74
81.794,81.864
81.92,81.982
82.048,82.112
82.184,82.244
82.312,82.383
82.444,82.524
82.58,82.648
82.707,82.772
82.834,82.904
82.959,83.027
83.09,83.162
83.221,83.304
83.352,83.42
83.484,83.553
83.617,83.696
83.747,83.84
83.879,83.953
84.011,84.08
84.667,84.742
84.79,84.862
84.917,85.016
85.05,85.129
85.184,85.261
85.322,85.394
85.46,85.526
85.592,85.666
85.724,85.787
85.853,85.917
85.985,86.065
86.118,86.188
86.249,86.319
86.925,86.98
87.056,87.139
87.201,87.242
87.315,87.36
87.546,87.642
87.748,87.776
87.783,87.815
87.857,87.952
88.185,88.209
88.33,88.394
88.463,88.529
88.603,88.679
88.833,88.9
89.015,89.037
89.123,89.145
89.21,89.318
89.539,89.663
89.683,89.787
89.804,90.833
91.068,91.125
91.186,91.24
91.308,91.368
103.425,103.477
103.534,103.588
103.661,103.709
168.927,168.979
169.031,169.089
169.141,169.201
169.261,169.327
169.383,169.45
169.508,169.581
169.635,169.713
169.768,169.85
169.907,169.976
170.034,170.102
170.159,170.223
170.284,170.347
170.408,170.475
170.535,170.599
170.661,170.735
170.788,170.86
170.921,171.0
171.064,171.13
171.187,171.248
171.309,171.368
171.431,171.487
171.546,171.607
171.671,171.737
171.792,171.861
171.917,171.975
172.04,172.097
172.162,172.222
172.286,172.352
172.416,172.475
172.543,172.602
172.667,172.732
172.798,172.869
172.926,173.025
173.065,173.145
173.205,173.267
173.329,173.388
173.452,173.52
173.574,173.636
173.702,173.763
173.826,173.894
173.952,174.029
174.083,174.143
174.21,174.268
174.335,174.394
174.466,174.529
174.603,174.664
174.726,174.788
174.852,174.918
174.979,175.055
175.111,175.18
175.243,175.316
175.374,175.437
175.503,175.568
175.635,175.696
175.767,175.826
175.896,175.958
176.027,176.09
176.161,176.221
176.294,176.36
176.436,176.515
176.569,176.654
176.704,176.814
176.851,176.93
176.989,177.056
177.12,177.194
177.247,177.318
177.383,177.443
177.507,177.575
177.642,177.708
177.766,177.833
177.903,177.971
178.031,178.103
178.178,178.246
178.305,178.374
178.432,178.502
178.561,178.63
178.691,178.761
178.827,178.884
178.957,179.011
179.087,179.129
179.357,179.419
179.467,179.535
179.601,179.667
179.736,179.806
179.857,179.921
179.991,180.052
180.122,180.19
180.257,180.323
180.393,180.457
180.527,180.59
180.662,180.723
180.794,180.859
180.944,181.009
181.074,181.142
181.21,181.293
181.345,181.431
181.496,181.571
181.635,181.701
181.769,181.838
181.902,181.967
182.033,182.103
182.165,182.229
182.295,182.363
182.437,182.507
182.57,182.63
182.702,182.781
182.837,182.91
182.968,183.027
183.095,183.174
183.23,183.306
183.359,183.58
183.644,183.736
183.792,183.875
183.949,184.02
184.085,184.151
184.219,184.277
184.349,184.406
184.476,184.539
184.611,184.695
184.743,184.826
184.879,184.938
184.948,184.978
185.01,185.1
185.154,185.229
185.296,185.376
185.442,185.538
185.59,185.67
185.737,185.815
185.878,185.947
186.014,186.073
186.143,186.205
186.276,186.344
186.417,186.502
186.553,186.642
186.7,186.769
186.839,186.934
186.983,187.07
187.133,187.207
187.277,187.415
187.429,187.55
187.588,187.704
187.737,187.811
187.861,187.927
187.989,188.065
188.125,188.189
188.25,188.325
188.383,188.459
188.518,188.583
188.65,188.729
188.785,188.865
188.918,188.996
189.053,189.125
189.206,189.266
189.332,189.398
189.466,189.531
189.6,189.691
189.731,189.995
190.02,190.113
190.177,190.367
190.435,190.491
190.553,190.632
190.681,190.753
190.828,190.898
190.956,191.032
191.087,191.168
191.222,191.303
191.362,191.431
191.493,191.568
191.622,191.701
191.756,191.838
191.896,191.964
192.022,192.096
192.159,192.233
192.288,192.374
192.423,192.519
192.56,192.644
192.694,192.773
192.84,192.915
192.968,193.04
193.099,193.167
193.23,193.302
193.361,193.433
193.496,193.565
193.632,193.699
193.762,193.834
193.898,193.973
194.038,194.098
194.172,194.233
194.305,194.367
194.437,194.502
194.576,194.65
194.711,194.774
194.857,194.952
194.99,195.054
195.118,195.21
195.253,195.351
195.393,195.462
195.528,195.59
195.661,195.733
195.796,195.875
195.932,196.003
196.072,196.149
196.205,196.303
196.351,196.436
196.488,196.558
196.623,196.697
196.758,196.842
196.901,196.97
197.04,197.101
197.175,197.241
197.315,197.381
197.454,197.518
197.589,197.659
197.741,197.819
197.869,197.95
198.004,198.104
198.144,198.22
198.284,198.35
198.42,198.495
198.559,198.627
198.692,198.755
198.828,198.892
198.971,199.042
199.115,199.186
199.27,199.332
199.4,199.465
199.534,199.627
199.677,199.737
199.806,199.901
199.948,200.013
200.087,200.146
200.222,200.28
200.359,200.433
200.497,200.573
200.646,200.706
200.778,200.836
204.392,204.454
204.457,204.568
204.577,204.599
204.627,204.695
204.725,204.751
204.754,204.836
204.865,204.883
204.908,204.983
205.054,205.116
208.276,208.331
208.385,208.45
208.463,208.482
208.508,208.568
208.589,208.713
208.768,208.843
208.908,208.969
209.038,209.104
209.175,209.241
209.309,209.376
209.45,209.524
209.601,209.666
209.731,209.808
209.882,209.953
209.993,210.002
210.016,210.09
210.161,210.228
210.275,210.283
210.294,210.379
210.438,210.445
210.446,210.53
210.594,210.662
210.719,210.791
210.854,210.922
210.985,211.043
211.106,211.177
211.241,211.308
211.387,211.452
211.511,211.575
211.638,211.7
211.748,211.753
211.769,211.839
211.905,211.99
212.041,212.115
212.175,212.279
212.334,212.407
212.463,212.532
212.598,212.659
212.724,212.795
212.865,212.931
212.993,213.063
213.139,213.201
213.269,213.339
213.423,213.49
213.552,213.625
213.689,213.752
213.817,213.892
213.948,214.013
214.078,214.15
214.209,214.29
214.345,214.405
214.471,214.545
214.601,214.673
214.734,214.802
214.868,214.926
214.996,215.054
215.121,215.184
215.254,215.313
215.385,215.449
215.521,215.59
215.653,215.723
215.793,215.898
215.932,216.038
216.096,216.187
216.243,216.303
216.361,216.437
216.499,216.569
216.632,216.708
216.771,216.835
216.9,216.971
217.04,217.098
217.171,217.252
217.307,217.374
217.44,217.508
217.571,217.647
217.703,217.777
217.84,217.907
217.975,218.04
218.109,218.175
218.239,218.313
218.372,218.457
218.521,218.595
218.648,218.742
218.776,218.877
218.906,219.003
219.043,219.134
219.182,219.278
219.316,219.404
219.448,219.538
219.581,219.667
219.717,219.805
219.854,220.062
220.138,220.201
220.284,220.351
220.406,220.47
220.534,220.656
220.658,220.761
220.805,220.895
220.949,221.043
221.098,221.163
221.228,221.293
221.36,221.422
221.492,221.556
221.624,221.715
221.761,221.832
221.89,221.979
222.024,222.123
222.162,222.249
222.311,222.408
222.442,222.533
222.571,222.655
222.708,222.932
222.982,223.049
223.119,223.189
223.255,223.319
223.394,223.629
223.665,223.774
223.824,223.902
223.974,224.045
224.112,224.218
224.26,224.359
224.403,224.478
224.548,224.615
224.685,224.749
224.819,224.883
224.958,225.021
225.094,225.167
225.229,225.295
225.359,225.582
225.647,225.73
225.789,225.881
225.95,226.014
226.081,226.148
226.208,226.286
226.339,226.441
226.487,226.596
226.614,226.731
226.746,226.876
226.883,226.997
227.015,227.094
227.151,227.23
227.279,227.359
227.417,227.524
227.555,227.66
227.688,227.785
227.825,227.906
227.963,228.044
228.1,228.189
228.243,228.367
228.383,228.506
228.524,228.597
228.668,229.023
229.093,229.349
229.409,229.489
229.567,229.638
229.705,229.764
229.838,229.911
229.98,230.101
230.126,230.223
230.255,230.326
230.392,230.49
230.53,230.638
230.663,230.761
230.799,230.902
230.937,231.013
231.071,231.142
231.206,231.273
231.34,231.412
231.464,231.557
