Onset,Offset
3.182,3.2
3.233,3.272
3.331,3.384
3.441,3.499
3.547,3.598
3.648,3.705
3.756,3.814
3.867,3.923
3.979,4.03
4.092,4.142
4.201,4.253
4.316,4.369
4.429,4.483
4.551,4.605
4.664,4.719
4.782,4.837
4.895,4.954
5.016,5.075
5.133,5.192
5.248,5.307
5.368,5.429
5.484,5.541
5.614,5.67
5.732,5.786
5.85,5.913
5.97,6.026
6.09,6.149
6.226,6.284
6.347,6.403
6.468,6.525
6.587,6.649
6.716,6.772
6.837,6.895
6.96,7.017
7.086,7.149
7.22,7.278
7.343,7.399
7.467,7.52
7.589,7.649
7.719,7.776
7.965,8.025
8.096,8.145
8.222,8.263
8.54,8.63
8.865,8.926
8.997,9.047
9.117,9.175
9.243,9.298
9.366,9.426
9.506,9.564
9.63,9.689
9.758,9.815
9.885,9.942
10.013,10.074
10.145,10.202
10.27,10.333
10.413,10.473
10.542,10.596
10.668,10.723
10.792,10.853
10.923,10.978
11.049,11.11
31.536,31.555
31.612,31.676
31.733,31.792
45.548,45.594
45.656,45.711
45.768,45.826
45.882,45.938
45.999,46.056
46.127,46.175
46.244,46.299
46.371,46.417
46.487,46.544
46.616,46.673
46.749,46.801
46.869,46.929
47.001,47.056
47.129,47.18
47.248,47.302
47.372,47.421
47.492,47.544
47.633,47.679
47.749,47.798
47.87,47.925
47.997,48.05
48.122,48.177
48.248,48.305
48.375,48.433
48.507,48.562
48.633,48.694
48.78,48.835
48.903,48.966
49.034,49.098
49.165,49.231
49.303,49.377
49.443,49.52
49.582,49.647
49.717,49.78
49.846,49.919
49.99,50.09
50.146,50.222
50.287,50.347
50.409,50.47
50.535,50.598
50.66,50.722
50.786,50.851
50.915,50.968
51.028,51.092
51.149,51.217
51.276,51.338
51.396,51.464
51.536,51.593
51.653,51.71
51.777,51.831
51.898,51.959
52.023,52.093
52.148,52.217
52.27,52.329
52.393,52.459
52.515,52.576
52.653,52.712
52.777,52.832
52.9,52.962
53.019,53.08
53.151,53.217
53.274,53.337
53.401,53.463
53.532,53.593
53.663,53.72
53.799,53.858
53.923,53.978
54.047,54.097
54.303,54.36
54.421,54.486
54.553,54.61
54.685,54.746
54.813,54.867
54.94,55.018
55.076,55.137
55.218,55.276
55.341,55.4
55.468,55.532
55.6,55.667
55.729,55.797
55.864,55.934
56.006,56.07
56.136,56.204
56.274,56.351
56.413,56.489
56.535,56.622
56.672,56.75
56.804,56.885
56.937,57.018
57.066,57.146
57.192,57.281
57.322,57.406
57.45,57.539
57.587,57.667
57.709,57.8
57.845,57.931
57.981,58.059
58.124,58.199
58.237,58.315
58.37,58.439
58.506,58.576
58.638,58.71
60.026,60.083
60.133,60.194
60.255,60.318
65.08,65.128
65.186,65.247
65.307,65.372
65.441,65.499
65.562,65.622
178.946,178.964
179.018,179.078
179.14,179.196
179.284,179.326
182.097,182.146
182.206,182.253
182.309,182.37
182.43,182.48
182.536,182.596
182.661,182.705
182.772,182.821
182.89,182.939
183.012,183.056
183.126,183.176
183.247,183.294
183.363,183.411
183.482,183.531
183.601,183.647
183.714,183.765
183.835,183.878
183.961,184.004
184.072,184.112
184.188,184.218
184.31,184.326
184.537,184.595
184.667,184.709
184.777,184.825
184.895,184.952
185.039,185.089
185.159,185.205
185.277,185.328
185.401,185.458
185.532,185.576
185.647,185.7
185.768,185.816
185.884,185.929
186.001,186.056
186.128,186.171
186.248,186.301
186.367,186.43
186.499,186.555
186.625,186.682
186.753,186.806
186.871,186.937
187.008,187.059
187.113,187.176
187.244,187.303
187.374,187.425
187.484,187.536
187.614,187.658
187.728,187.787
187.858,187.907
187.98,188.047
188.119,188.197
188.266,188.322
188.386,188.445
188.52,188.575
188.639,188.69
188.756,188.814
188.882,188.935
189.001,189.055
189.12,189.172
189.242,189.294
189.36,189.42
189.487,189.541
189.605,189.662
189.738,189.784
189.848,189.897
189.968,190.017
190.086,190.139
190.207,190.265
190.331,190.395
190.457,190.506
190.575,190.629
190.699,190.752
190.819,190.88
190.954,191.013
191.077,191.124
191.193,191.245
191.312,191.367
191.434,191.495
191.56,191.623
191.698,191.754
191.81,191.872
191.936,191.999
192.079,192.131
192.192,192.247
192.31,192.365
192.433,192.494
192.564,192.622
192.685,192.735
192.801,192.855
192.919,192.98
193.049,193.097
193.167,193.222
193.288,193.344
193.422,193.488
193.55,193.606
193.674,193.728
193.797,193.857
193.921,193.99
194.054,194.117
194.178,194.233
194.299,194.359
194.422,194.484
194.548,194.612
194.679,194.736
194.804,194.861
194.922,194.978
195.047,195.105
195.172,195.232
195.293,195.354
195.422,195.486
195.557,195.615
195.678,195.735
195.802,195.863
195.945,196.001
196.07,196.135
196.199,196.263
196.323,196.389
196.451,196.506
196.574,196.642
196.713,196.79
196.848,196.923
196.989,197.051
197.128,197.183
197.245,197.304
197.367,197.433
197.498,197.568
197.636,197.707
197.767,197.84
197.906,197.975
198.039,198.109
198.174,198.247
198.321,198.381
198.447,198.505
198.573,198.638
198.709,198.787
198.86,198.913
198.981,199.049
199.115,199.181
199.244,199.317
199.405,199.47
199.525,199.59
199.66,199.722
199.784,199.841
199.903,199.967
200.028,200.112
200.157,200.227
200.294,200.358
200.418,200.482
200.544,200.619
200.686,200.747
200.812,200.887
200.94,201.012
201.086,201.161
201.227,201.288
201.343,201.41
201.464,201.537
201.609,201.665
201.736,201.821
201.87,201.934
201.995,202.062
202.12,202.2
202.262,202.335
202.403,202.481
202.537,202.605
202.666,202.738
202.797,202.871
202.942,203.04
203.082,203.155
203.22,203.287
203.342,203.42
203.476,203.55
203.626,203.686
203.742,203.809
203.875,203.953
203.994,204.064
204.117,204.191
204.254,204.322
204.388,204.459
204.5,204.572
204.63,204.717
204.755,204.828
204.879,204.95
205.018,205.079
205.137,205.212
205.263,205.331
205.386,205.461
205.51,205.578
205.642,205.687
206.016,206.071
206.135,206.192
206.256,206.32
206.384,206.449
206.514,206.583
206.641,206.717
206.773,206.84
206.897,206.974
207.052,207.116
207.179,207.235
207.3,207.372
207.436,207.515
207.568,207.646
207.716,207.779
207.845,207.93
208.005,208.061
208.13,208.208
208.296,208.348
208.414,208.484
208.555,208.612
208.685,208.752
208.828,208.898
