Onset,Offset
7.409,7.433
7.531,7.568
7.629,7.695
9.537,9.592
9.87,9.932
10.078,10.09
10.206,10.292
24.848,24.884
81.52,81.559
81.619,81.686
81.742,81.804
101.792,101.825
101.836,101.857
101.877,101.943
102.018,102.193
102.254,102.308
102.372,102.427
102.481,102.544
102.606,102.661
102.717,102.776
102.842,102.897
102.956,103.02
103.087,103.139
103.201,103.268
103.331,103.386
103.442,103.52
103.573,103.63
103.684,103.754
103.824,103.881
103.938,104.002
104.068,104.121
104.18,104.25
104.307,104.367
104.429,104.501
104.562,104.616
104.687,104.751
104.812,104.878
104.942,105.005
105.059,105.149
105.188,105.285
105.311,105.395
105.433,105.523
105.557,105.644
105.679,105.745
105.803,105.886
105.928,106.0
106.047,106.118
106.184,106.252
106.312,106.379
106.434,106.544
106.572,106.644
106.706,106.785
106.815,106.832
106.839,106.923
106.987,107.068
107.11,107.181
107.23,107.312
107.349,107.426
107.473,107.56
107.594,107.678
107.716,107.792
107.843,107.93
107.966,108.048
108.092,108.172
108.224,108.293
108.358,108.433
108.49,108.599
108.622,108.697
108.76,108.836
108.913,108.992
109.185,109.278
109.295,109.355
109.421,109.539
109.548,109.611
109.685,109.762
132.849,132.911
132.925,132.939
132.97,133.033
177.474,177.522
177.575,177.633
177.7,177.754
177.82,177.891
177.969,178.086
178.101,178.2
178.233,178.331
178.368,178.449
178.487,178.559
178.601,178.654
178.725,178.769
178.839,178.905
178.971,179.044
179.101,179.164
179.225,179.286
179.342,179.416
179.468,179.54
179.601,179.66
179.716,179.783
179.837,179.903
179.953,180.015
180.076,180.148
180.206,180.288
180.342,180.437
180.481,180.553
180.61,180.688
180.726,180.787
180.842,180.906
180.954,181.026
181.074,181.143
181.199,181.263
181.326,181.389
181.46,181.555
181.588,181.645
181.714,181.791
181.857,181.977
182.011,182.123
182.163,182.256
182.3,182.395
182.436,182.497
182.556,182.616
182.673,182.743
182.796,182.867
182.916,182.981
183.049,183.14
183.165,183.225
183.286,183.358
183.414,183.502
183.569,183.663
183.709,183.801
183.863,183.942
184.012,184.109
184.165,184.274
184.306,184.408
184.46,184.544
184.608,184.732
184.766,184.888
184.918,185.011
185.074,185.186
185.21,185.286
185.347,185.423
185.469,185.562
185.59,185.654
185.71,185.777
185.835,185.91
185.967,186.057
186.087,186.141
186.205,186.266
186.33,186.391
186.456,186.525
186.604,186.749
186.907,186.972
187.21,187.422
187.464,187.563
187.604,187.709
187.746,187.86
187.927,188.202
188.229,188.309
188.381,188.575
188.63,188.709
188.744,188.821
188.883,188.962
189.026,189.13
189.138,189.206
189.256,189.336
189.396,189.458
189.516,189.592
189.647,189.729
189.794,189.9
189.933,190.004
190.063,190.143
190.222,190.314
190.371,190.463
190.512,190.584
190.653,190.746
190.8,190.877
190.935,191.016
191.078,191.148
191.189,191.337
191.392,191.49
191.542,191.633
191.691,191.769
191.836,191.947
191.987,192.13
192.134,192.251
192.269,192.667
192.69,192.783
192.813,192.913
192.948,193.049
193.071,193.137
193.202,193.267
193.28,193.332
193.339,193.421
193.433,193.448
193.491,193.595
193.649,193.756
193.812,193.913
193.968,194.05
194.086,194.165
194.219,194.287
194.348,194.43
194.486,194.556
194.627,194.729
194.765,194.861
194.924,195.293
195.298,195.412
195.43,195.503
195.562,195.808
195.831,195.93
195.997,196.108
196.158,196.22
196.275,196.366
196.391,196.467
196.528,196.631
196.653,196.756
196.782,196.858
196.909,197.005
197.029,197.137
197.157,197.262
197.282,197.379
197.405,197.482
197.529,197.623
197.663,197.741
197.784,197.868
197.903,197.976
198.026,198.09
198.151,198.363
198.425,198.539
198.589,198.7
198.756,198.84
198.882,198.956
199.012,199.081
199.134,199.229
199.254,199.359
199.398,199.489
199.516,199.621
199.643,199.716
199.772,199.846
199.895,199.969
200.023,200.103
200.152,200.228
200.277,200.356
200.415,200.509
200.587,200.696
200.739,200.825
200.879,200.965
201.007,201.091
201.143,201.238
201.306,201.391
201.438,201.524
201.56,201.659
201.682,201.784
201.789,201.8
201.801,201.882
201.932,202.007
202.066,202.184
202.204,202.301
202.363,202.478
202.523,202.604
202.656,202.735
202.806,202.886
202.924,203.033
203.052,203.144
203.175,203.253
203.302,203.376
203.429,203.506
203.558,203.636
203.697,203.775
203.817,203.91
203.94,204.045
204.073,204.141
204.2,204.271
204.321,204.396
204.456,204.526
204.541,204.59
204.6,204.853
204.875,205.034
205.088,205.183
205.243,205.322
205.37,205.472
205.523,206.027
206.03,206.272
206.297,206.402
206.421,206.503
206.558,206.638
206.68,206.766
206.803,206.891
206.925,207.014
207.047,207.127
207.172,207.261
207.3,207.385
207.424,207.495
207.555,207.633
207.689,207.779
207.851,207.959
208.012,208.119
208.158,208.265
208.31,208.395
208.432,208.511
208.571,208.668
208.691,208.771
208.825,208.9
208.948,209.032
209.086,209.202
209.212,209.307
209.344,209.441
209.488,209.568
209.628,209.719
209.794,209.901
209.94,210.031
210.092,210.166
210.213,210.303
210.355,210.449
210.497,210.589
210.641,210.734
210.787,210.865
210.915,211.003
211.067,211.163
211.213,211.31
211.361,211.442
211.518,211.606
211.653,211.739
211.8,211.88
211.933,212.018
212.085,212.183
212.23,212.352
212.38,212.461
212.523,212.601
212.664,212.751
212.802,212.9
212.968,213.052
213.11,213.201
213.273,213.354
213.407,213.516
213.567,213.659
213.693,213.799
213.826,213.927
213.966,214.051
214.096,214.184
214.236,214.314
214.36,214.446
214.5,214.577
214.625,214.729
214.753,214.845
214.881,214.956
215.005,215.074
215.142,215.204
215.254,215.319
215.375,215.439
215.494,215.565
215.622,215.689
215.743,215.813
215.868,215.936
215.99,216.063
216.114,216.186
216.241,216.323
216.368,216.446
216.508,216.576
216.627,216.696
216.75,216.823
216.875,216.948
217.003,217.084
217.128,217.212
217.256,217.335
217.384,217.457
217.512,217.591
217.647,217.713
217.772,217.84
217.899,217.97
218.04,218.104
218.16,218.23
218.287,218.371
218.415,218.502
218.541,218.62
218.674,218.79
218.816,218.938
218.951,219.047
219.104,219.195
219.254,219.34
219.4,219.501
219.533,219.607
219.668,219.749
219.802,219.893
219.942,220.025
220.086,220.179
220.224,220.306
220.354,220.464
220.491,220.564
220.611,220.681
220.733,220.805
220.857,220.931
220.984,221.069
221.112,221.183
221.25,221.319
221.373,221.445
221.501,221.57
221.626,221.7
221.755,221.839
221.891,221.97
222.018,222.093
222.143,222.216
222.27,222.346
222.401,222.48
222.532,222.606
222.67,222.74
222.794,222.886
222.925,223.019
223.062,223.134
223.184,223.263
223.31,223.39
223.437,223.517
223.56,223.642
223.688,223.772
223.817,223.899
223.942,224.027
224.069,224.16
224.215,224.292
224.336,224.423
224.464,224.554
224.593,224.685
224.724,224.816
224.859,224.947
224.997,225.079
225.12,225.207
225.253,225.326
225.379,225.456
225.508,225.579
225.634,225.705
225.759,225.833
225.901,225.97
226.025,226.096
226.148,226.219
226.272,226.35
226.398,226.475
226.526,226.601
226.655,226.728
226.782,226.859
227.177,227.238
227.412,227.486
227.527,227.611
227.671,227.887
265.684,265.86
265.903,265.967
266.015,266.073
266.138,266.194
266.28,266.328
266.382,266.445
266.501,266.56
266.616,266.677
266.734,266.798
266.85,266.927
266.969,267.037
267.082,267.164
267.198,267.27
267.319,267.382
267.44,267.538
267.6,267.708
267.735,267.803
267.858,267.932
267.968,268.026
268.081,268.173
268.192,268.275
268.305,268.387
268.419,268.48
268.534,268.639
268.654,268.718
268.784,268.859
268.912,268.983
269.041,269.123
269.184,269.269
269.315,269.389
269.449,269.501
269.565,269.67
269.68,269.758
269.81,269.899
269.932,269.997
270.053,270.129
270.172,270.238
270.295,270.393
270.429,270.497
270.554,270.666
270.683,270.785
270.827,270.939
270.964,271.033
271.085,271.152
271.202,271.285
271.318,271.404
271.439,271.506
271.558,271.655
271.677,271.746
271.797,271.866
271.917,271.984
272.051,272.133
272.167,272.251
272.285,272.347
272.407,272.497
272.531,272.644
272.666,272.792
272.81,272.93
272.97,273.167
273.213,273.302
273.329,273.422
273.447,273.539
273.562,273.651
273.683,273.759
273.802,273.885
273.918,274.01
274.041,274.135
274.158,274.248
274.281,274.369
274.4,274.465
274.52,274.588
274.65,274.731
274.788,274.868
274.923,275.007
275.062,275.136
275.216,275.29
275.336,275.422
275.459,275.531
275.582,275.641
275.699,275.815
275.824,275.943
275.959,276.383
276.437,276.524
276.577,276.681
276.741,276.842
276.88,276.957
277.012,277.079
277.138,277.229
277.258,277.356
277.381,277.479
277.503,277.601
277.624,277.719
277.747,277.822
277.882,277.967
278.007,278.093
278.133,278.205
278.258,278.343
278.387,278.488
278.512,278.627
278.642,278.742
278.769,278.859
278.901,279.418
279.463,279.588
279.627,279.692
279.75,279.945
280.0,280.105
280.124,280.229
280.247,280.366
280.372,280.49
280.496,280.61
280.618,280.692
280.744,280.849
280.869,280.95
280.991,281.071
281.125,281.205
281.241,281.328
281.361,281.449
281.483,281.559
281.606,281.707
281.736,281.812
281.858,281.934
281.981,282.06
282.105,282.185
282.234,282.331
282.362,282.443
282.499,282.589
282.637,282.714
282.769,282.855
282.909,282.995
283.048,283.151
283.181,283.251
283.321,283.393
283.443,283.46
283.461,283.955
284.0,284.102
284.152,284.248
284.303,284.389
284.446,284.524
284.538,284.707
284.72,285.098
285.11,285.367
285.371,285.473
285.499,285.616
285.628,285.715
285.93,285.965
286.012,286.346
286.407,286.486
286.537,286.649
286.694,286.803
286.849,286.954
286.988,287.091
287.148,287.213
287.259,287.476
287.485,287.611
287.634,287.755
287.756,288.137
288.157,288.289
288.331,288.558
288.561,288.813
288.86,289.71
289.925,289.985
289.996,290.12
290.17,290.176
290.186,290.306
300.19,300.207
300.233,300.263
300.305,300.373
300.438,300.509
300.624,300.674
300.747,300.807
300.897,300.936
301.324,301.348
301.437,301.497
301.554,301.65
301.703,301.781
301.844,301.926
301.961,302.065
302.129,302.227
302.273,302.363
302.415,302.49
302.539,302.608
302.663,302.738
302.791,302.866
302.928,303.019
303.078,303.184
303.235,303.351
303.396,303.496
303.542,303.625
303.686,303.754
303.815,303.893
303.938,304.041
304.071,304.131
304.197,304.268
304.284,304.414
304.484,304.542
311.087,311.113
311.126,311.196
311.21,311.232
311.25,311.311
314.176,314.253
314.276,314.292
314.319,314.336
314.358,314.449
314.843,314.893
314.906,314.921
314.965,315.032
315.104,315.164
315.233,315.302
315.374,315.501
317.332,317.379
317.4,317.414
317.439,317.504
317.568,317.677
328.037,328.085
328.149,328.239
328.286,328.367
330.283,330.34
330.397,330.469
330.526,330.624
330.651,330.915
330.926,331.026
331.066,331.302
331.319,331.392
331.446,331.521
331.562,331.629
331.694,331.761
331.823,331.906
331.968,332.054
332.106,332.193
332.248,332.354
332.4,332.509
332.585,332.679
332.731,332.845
332.876,332.961
333.008,333.103
333.136,333.222
333.281,333.378
333.412,333.49
333.551,333.642
333.667,333.736
333.793,333.869
333.918,334.022
334.047,334.135
334.182,334.249
334.308,334.384
334.434,334.493
334.557,334.627
334.697,334.791
334.821,334.845
334.855,335.122
335.159,335.258
335.3,335.368
335.418,335.507
335.533,335.621
335.645,335.715
335.761,335.862
335.884,335.942
335.999,336.061
336.126,336.235
336.259,336.328
336.39,336.519
336.566,336.685
336.703,336.769
336.821,336.911
336.943,337.031
337.062,337.135
337.189,337.262
337.313,337.384
337.439,337.516
337.571,337.647
337.714,337.81
337.873,337.965
338.036,338.118
338.124,338.143
338.179,338.258
338.299,338.32
338.336,338.468
338.52,338.622
338.679,338.76
338.809,338.877
