Onset,Offset
23.985,24.04
24.099,24.161
24.23,24.301
24.367,24.441
24.529,24.594
52.309,52.349
52.413,52.473
52.548,52.623
52.928,52.981
53.048,53.131
53.213,53.286
53.395,53.415
53.431,53.525
53.559,53.635
53.681,53.737
53.853,53.865
53.979,54.044
54.244,54.331
54.371,54.486
54.69,54.759
54.854,54.887
55.004,55.038
55.211,55.229
55.342,55.39
55.824,55.912
56.131,56.179
56.614,56.648
56.861,56.92
56.984,57.068
57.139,57.227
57.515,57.531
226.803,226.825
227.013,227.036
227.332,227.416
262.285,262.335
262.497,262.572
262.739,262.837
262.885,263.004
504.39,504.448
505.314,505.345
505.405,505.431
505.684,505.715
505.869,505.88
505.913,506.05
506.283,506.546
506.547,506.555
508.568,508.58
508.659,508.708
508.787,508.8
508.826,508.929
512.27,512.318
513.1,513.149
514.276,514.308
515.118,515.205
515.698,515.756
547.224,547.3
547.397,547.404
547.451,547.563
685.563,685.602
685.69,685.712
703.352,703.406
703.492,703.539
703.906,703.968
704.127,704.154
707.72,707.775
707.875,707.898
707.923,708.231
708.349,708.381
708.406,708.527
708.55,708.838
708.967,709.153
709.328,709.491
709.593,709.825
709.958,709.982
710.052,710.135
768.836,768.916
769.347,769.397
769.787,769.841
769.908,770.041
786.693,786.759
786.872,786.885
786.909,787.023
787.352,787.48
787.633,787.666
787.719,787.812
979.914,979.929
980.184,980.202
980.223,980.332
984.399,984.475
984.698,984.753
984.863,984.896
984.917,984.982
988.574,988.621
988.813,988.844
989.289,989.354
989.44,989.501
989.544,989.607
989.635,989.758
990.47,990.514
990.577,990.661
990.999,991.086
991.357,991.409
991.483,991.544
991.545,991.553
991.617,991.707
991.795,991.857
991.892,991.969
992.564,992.679
992.784,992.829
992.887,993.028
993.12,993.164
1148.506,1148.561
1150.465,1150.522
1291.749,1291.807
1292.334,1292.432
1292.809,1292.851
1293.132,1293.192
1294.001,1294.092
1294.202,1294.225
1294.254,1294.336
1294.388,1294.467
1464.399,1464.453
1464.799,1464.86
1464.947,1465.009
1467.668,1467.712
1467.752,1467.859
1467.943,1467.955
1468.047,1468.094
1471.359,1471.406
1472.026,1472.099
1472.325,1472.34
1472.96,1473.006
1473.235,1473.256
1473.341,1473.508
1473.633,1473.662
1473.751,1474.213
1474.443,1474.525
1476.794,1476.885
1476.954,1476.99
1476.999,1477.184
1477.674,1477.833
1477.983,1478.17
1599.762,1599.8
1599.846,1599.921
1600.023,1600.051
1600.069,1600.172
1601.685,1601.717
1602.456,1602.513
1602.583,1602.617
1602.669,1603.13
1603.272,1604.015
1604.209,1604.286
1604.357,1604.434
1605.427,1605.476
1613.711,1613.825
1613.959,1614.148
1615.447,1615.456
1615.477,1615.517
1616.415,1616.505
1616.556,1616.623
1617.191,1617.245
1617.262,1617.297
2038.758,2038.793
2038.944,2038.968
2039.075,2039.096
2039.106,2039.711
2039.738,2039.821
2040.136,2040.199
2041.053,2041.101
2041.394,2041.503
2041.755,2041.825
2042.169,2042.197
2064.305,2064.359
2064.504,2064.626
2064.773,2064.855
2078.795,2078.935
2079.167,2079.228
2079.354,2079.444
2102.407,2102.428
2102.528,2102.575
2104.488,2104.547
2104.772,2104.793
2104.859,2105.18
2105.215,2105.318
2105.452,2105.493
2105.671,2105.803
2105.954,2105.982
2106.026,2106.154
2106.19,2106.304
2106.433,2106.452
2106.506,2106.56
2106.596,2106.615
2106.626,2106.769
2106.893,2106.932
2106.942,2107.113
2107.368,2107.419
2107.6,2107.726
2107.763,2107.788
2159.406,2159.465
2159.94,2159.986
2160.029,2160.049
2160.055,2160.675
2160.705,2160.827
2169.928,2169.983
2170.224,2170.433
2170.521,2170.836
2179.922,2179.991
2180.421,2180.574
2180.58,2180.597
2180.634,2180.685
2180.849,2182.122
2182.13,2182.138
2182.194,2182.35
2187.699,2187.748
2187.927,2188.055
2188.147,2188.183
2188.209,2188.302
2189.919,2189.933
2189.997,2190.057
2190.077,2190.568
2190.597,2190.688
2193.835,2194.063
2194.073,2194.211
3181.195,3181.351
3181.424,3181.478
3181.536,3181.587
3181.628,3181.895
3182.131,3182.16
3182.228,3182.292
3182.295,3182.308
3182.507,3182.638
3183.554,3183.618
3183.723,3183.75
3183.788,3183.924
3187.264,3187.294
3187.339,3187.4
3188.486,3188.57
3188.725,3188.775
3189.01,3189.062
3432.9,3433.006
3433.064,3433.119
