Onset,Offset
7.698,7.75
7.783,7.836
7.878,7.94
7.98,8.039
16.914,16.965
17.008,17.066
17.115,17.213
17.222,17.279
17.324,17.375
17.428,17.477
17.536,17.59
17.656,17.701
17.76,17.813
17.878,17.921
17.99,18.055
18.11,18.169
18.224,18.291
18.341,18.395
18.462,18.494
19.081,19.141
19.199,19.255
19.307,19.374
19.424,19.484
19.54,19.6
19.661,19.703
20.512,20.571
20.622,20.683
20.739,20.796
20.853,20.912
42.86,42.883
42.971,43.025
43.071,43.141
43.19,43.247
43.297,43.366
43.42,43.48
43.531,43.584
43.641,43.703
43.757,43.811
47.032,47.097
47.147,47.213
47.267,47.323
56.209,56.266
56.308,56.371
56.42,56.483
56.526,56.596
62.028,62.081
62.126,62.189
62.24,62.308
71.757,71.809
71.86,71.93
71.97,72.038
72.096,72.138
72.292,72.356
72.417,72.469
72.53,72.585
72.766,72.786
72.838,73.468
73.532,73.593
73.65,73.716
73.767,73.831
73.887,73.954
74.215,74.256
74.294,74.345
74.362,74.41
74.428,74.446
74.505,74.583
74.632,74.702
74.75,74.821
74.88,74.976
74.995,75.081
75.116,75.23
75.232,75.321
75.35,75.44
75.472,75.568
75.594,75.678
75.715,75.786
75.838,75.923
75.957,76.047
76.078,76.156
76.198,76.281
76.327,76.433
76.453,76.549
76.574,76.672
76.695,76.791
76.817,77.026
77.074,77.172
77.205,77.283
77.336,77.408
77.475,77.54
77.621,77.74
77.761,77.877
77.921,78.015
78.043,78.114
78.183,78.257
78.307,78.373
78.437,78.507
78.557,78.63
78.683,78.753
78.812,78.874
78.935,78.999
79.059,79.124
79.183,79.248
79.322,79.389
79.442,79.513
79.572,79.653
79.688,79.757
79.818,79.885
79.947,79.997
80.177,80.252
80.323,80.385
80.461,80.485
80.563,80.576
80.577,80.621
80.641,80.707
80.732,80.796
80.853,80.921
80.986,81.045
89.103,89.163
89.205,89.272
89.317,89.372
109.85,109.903
109.951,110.008
110.057,110.119
110.175,110.225
114.121,114.165
114.211,114.267
114.318,114.379
114.429,114.495
114.544,114.6
114.655,114.714
114.767,114.834
114.887,114.954
115.003,115.076
115.12,115.2
115.241,115.33
115.369,115.44
115.498,115.575
115.629,115.705
115.758,115.821
115.88,115.944
115.98,116.041
116.092,116.153
