Onset,Offset
0.001,2.601
6.922,7.018
7.18,7.967
20.933,21.06
21.1,25.702
31.172,31.762
31.904,32.019
32.021,32.028
32.175,32.54
32.589,32.918
39.752,40.318
40.483,41.14
41.142,41.15
41.391,41.61
44.832,49.994
50.03,63.226
91.993,91.998
92.073,92.078
92.084,92.167
92.168,92.186
92.189,92.206
92.209,92.22
92.23,92.238
92.251,92.258
92.271,92.278
92.291,92.298
92.311,92.318
92.331,92.338
92.351,92.358
92.371,92.378
92.39,92.398
92.41,92.418
92.431,92.438
92.451,92.458
92.473,92.478
92.493,92.498
92.653,92.657
92.673,92.678
93.845,94.328
100.412,103.774
153.245,153.304
153.362,153.411
153.474,153.528
157.221,157.286
157.343,157.401
157.46,157.521
174.737,174.791
174.856,174.911
174.977,175.042
177.02,177.079
177.137,177.194
177.259,177.321
177.393,177.444
177.526,177.598
177.671,177.74
177.868,177.898
177.97,178.039
178.109,178.179
178.244,178.32
178.378,178.458
178.517,178.581
178.637,178.704
178.764,178.84
178.895,178.981
179.036,179.104
179.163,179.226
179.288,179.358
179.427,179.49
179.565,179.644
179.724,179.771
179.864,179.886
180.323,180.396
180.459,180.528
180.592,180.675
180.736,180.817
180.878,180.971
181.04,181.111
181.841,181.908
181.991,182.053
182.85,182.91
183.514,183.574
183.65,183.708
183.784,183.857
184.823,184.917
185.183,185.271
185.868,185.926
195.503,195.559
195.619,195.68
195.76,195.824
219.221,219.277
219.349,219.404
219.483,219.555
248.199,248.245
248.323,248.377
248.454,248.501
250.893,250.943
251.011,251.058
251.144,251.206
251.455,251.54
251.979,252.035
252.124,252.195
252.26,252.34
252.42,252.494
252.641,252.677
254.62,254.674
254.75,254.819
254.881,254.956
255.017,255.091
265.467,265.531
265.588,265.639
265.698,265.758
265.818,265.87
265.943,265.992
266.057,266.116
266.186,266.25
298.319,298.369
298.435,298.478
298.541,298.603
305.819,305.871
305.931,305.978
306.051,306.104
306.544,306.601
306.687,306.75
306.824,306.898
306.969,307.047
307.119,307.192
307.258,307.338
307.412,307.511
307.564,307.651
307.709,307.773
307.834,307.906
307.966,308.046
308.108,308.19
308.251,308.328
308.391,308.48
308.538,308.608
308.683,308.77
308.831,308.92
308.986,309.063
309.128,309.214
309.28,309.359
309.429,309.509
309.575,309.656
309.723,309.814
309.881,309.967
310.036,310.099
310.178,310.265
310.334,310.422
310.489,310.575
310.642,310.719
310.788,310.869
310.938,310.986
311.063,311.147
311.224,311.315
312.08,312.151
312.225,312.298
312.374,312.463
312.548,312.623
312.701,312.78
312.863,312.945
370.103,370.157
370.239,370.298
370.381,370.451
400.424,400.475
400.549,400.604
400.68,400.745
400.822,400.878
401.045,401.105
401.965,402.03
402.096,402.155
402.23,402.305
402.372,402.452
402.52,402.603
402.678,402.769
402.836,402.924
402.981,403.049
403.114,403.191
403.254,403.308
403.371,403.438
403.506,403.574
403.638,403.71
403.774,403.845
403.908,403.99
404.054,404.118
404.192,404.261
404.327,404.4
404.465,404.553
404.633,404.714
404.79,404.875
404.949,404.999
405.057,405.147
405.215,405.294
405.351,405.402
405.468,405.539
405.613,405.694
405.769,405.84
405.915,405.995
406.069,406.151
406.232,406.313
406.38,406.46
406.523,406.613
406.677,406.763
406.829,406.89
406.958,407.033
407.103,407.181
407.267,407.364
407.438,407.533
407.598,407.686
407.751,407.833
407.895,407.964
408.033,408.111
408.181,408.26
408.331,408.406
408.475,408.561
408.637,408.713
408.784,408.877
408.957,409.056
409.118,409.174
409.24,409.338
409.413,409.527
409.581,409.663
409.738,409.825
409.894,409.971
410.042,410.122
410.193,410.27
410.341,410.389
410.475,410.579
410.642,410.698
410.757,410.851
410.928,411.011
411.087,411.171
411.243,411.327
411.395,411.454
411.523,411.616
411.685,411.776
411.842,411.911
411.982,412.053
412.119,412.21
412.281,412.388
412.451,412.542
412.602,412.667
412.727,412.828
412.896,413.013
413.073,413.161
413.231,413.33
413.399,413.481
413.555,413.607
413.685,413.761
413.834,413.921
414.006,414.101
414.169,414.25
414.316,414.418
414.491,414.586
414.665,414.752
414.827,414.92
414.985,415.088
415.161,415.263
415.332,415.424
415.487,415.573
415.638,415.722
415.8,415.877
415.937,416.006
416.07,416.135
416.198,416.259
416.327,416.395
416.464,416.543
416.615,416.715
416.802,416.91
416.971,417.058
417.12,417.223
417.297,417.392
417.454,417.557
417.621,417.74
417.804,417.899
417.985,418.065
418.129,418.18
418.257,418.338
418.417,418.509
418.582,418.679
418.756,418.858
418.928,419.017
419.089,419.181
419.259,419.334
419.395,419.488
419.554,419.641
419.705,419.796
419.864,419.959
420.031,420.121
420.185,420.279
420.347,420.449
420.526,420.625
420.683,420.779
420.846,420.929
420.984,421.062
421.123,421.203
421.269,421.337
421.402,421.478
421.559,421.642
421.701,421.762
421.832,421.899
421.974,422.066
422.136,422.243
422.306,422.407
422.475,422.577
422.653,422.747
422.808,422.899
422.968,423.052
423.119,423.208
423.276,423.369
423.441,423.532
423.593,423.68
423.743,423.811
423.88,423.956
424.039,424.128
424.192,424.255
424.323,424.404
424.472,424.561
424.635,424.734
424.811,424.915
424.989,425.101
425.164,425.268
425.339,425.451
425.513,425.634
425.695,425.81
425.869,425.963
426.039,426.131
426.196,426.282
426.355,426.435
426.503,426.592
426.659,426.756
426.842,426.918
426.985,427.078
427.154,427.275
427.332,427.42
427.487,427.551
427.621,427.69
427.766,427.833
428.09,428.132
428.204,428.264
428.326,428.414
428.478,428.573
428.641,428.736
428.805,428.893
428.97,429.057
429.131,429.234
429.304,429.405
429.488,429.583
429.655,429.748
429.809,429.907
430.436,430.48
475.755,475.806
475.873,475.926
475.999,476.058
476.583,476.594
477.621,477.68
477.745,477.798
477.87,477.927
480.959,481.01
481.072,481.127
481.204,481.254
486.239,486.29
486.363,486.416
486.49,486.557
490.35,490.403
490.475,490.536
490.612,490.683
490.754,490.829
490.905,490.994
491.056,491.146
491.204,491.275
491.349,491.442
491.507,491.583
491.643,491.702
491.77,491.842
491.913,491.964
492.037,492.095
492.17,492.256
492.327,492.392
492.466,492.537
492.607,492.681
492.749,492.831
492.896,492.979
493.047,493.113
493.192,493.265
493.34,493.423
493.493,493.57
493.653,493.747
493.817,493.905
493.975,494.061
494.123,494.206
494.265,494.352
494.416,494.499
494.566,494.647
494.718,494.804
494.882,494.966
495.029,495.109
495.175,495.267
495.344,495.416
495.487,495.571
495.642,495.732
495.799,495.882
495.954,496.055
496.116,496.188
496.255,496.342
496.408,496.486
496.554,496.625
496.697,496.763
496.846,496.927
496.998,497.066
497.139,497.208
497.275,497.36
497.428,497.506
497.578,497.664
497.733,497.813
497.887,497.961
498.04,498.116
498.195,498.279
498.349,498.415
498.491,498.56
498.653,498.735
498.809,498.866
498.938,499.007
499.078,499.154
499.225,499.307
499.378,499.464
499.531,499.591
499.673,499.755
499.822,499.892
499.96,500.03
500.095,500.165
500.235,500.325
500.397,500.483
500.556,500.645
500.715,500.804
500.884,500.972
501.043,501.088
501.156,501.219
501.289,501.373
501.446,501.531
501.605,501.69
501.765,501.858
501.937,502.028
502.093,502.164
502.239,502.312
502.384,502.444
502.867,502.951
503.016,503.1
503.179,503.25
503.324,503.402
503.476,503.563
509.26,509.322
509.39,509.454
509.522,509.608
509.678,509.761
509.833,509.92
510.533,510.6
510.667,510.74
510.81,510.884
510.952,511.035
511.1,511.188
511.258,511.343
511.413,511.503
511.577,511.668
511.74,511.813
511.872,511.957
512.028,512.115
512.186,512.269
512.347,512.422
512.493,512.556
512.625,512.716
512.785,512.872
512.945,513.046
513.125,513.221
513.295,513.393
513.464,513.553
513.621,513.721
513.781,513.874
513.943,514.035
514.104,514.202
514.271,514.37
514.439,514.525
514.595,514.684
514.71,514.733
514.789,514.895
514.964,515.046
515.125,515.227
515.302,515.396
515.466,515.578
515.656,515.758
515.826,515.928
515.993,516.103
516.165,516.263
516.329,516.392
516.459,516.552
516.616,516.706
516.765,516.852
516.909,516.993
517.062,517.133
517.195,517.266
517.334,517.416
517.478,517.556
517.62,517.709
517.774,517.856
517.923,518.008
518.079,518.176
518.248,518.343
518.421,518.52
518.58,518.667
518.731,518.837
518.901,518.961
519.017,519.092
519.16,519.258
519.323,519.431
519.494,519.55
519.618,519.721
519.826,519.886
519.955,520.031
520.101,520.18
520.254,520.346
520.422,520.511
520.6,520.655
520.726,520.808
520.883,520.975
521.048,521.145
521.245,521.347
521.409,521.464
521.53,521.624
521.689,521.756
521.825,521.918
521.994,522.092
522.16,522.265
522.324,522.418
522.479,522.576
522.662,522.761
522.819,522.87
522.944,523.027
523.095,523.19
523.262,523.353
523.423,523.493
523.563,523.658
523.727,523.806
523.873,523.933
527.535,527.602
527.677,527.758
527.817,527.893
558.671,558.725
558.792,558.852
558.924,558.987
559.061,559.137
559.206,559.28
562.262,562.316
562.392,562.458
562.535,562.606
563.176,563.232
563.323,563.389
563.466,563.541
563.619,563.7
563.785,563.872
563.941,564.013
564.074,564.151
564.217,564.301
564.367,564.45
564.511,564.6
564.67,564.765
564.832,564.919
564.978,565.03
565.092,565.172
565.249,565.299
565.366,565.436
565.506,565.567
565.636,565.718
565.781,565.862
565.935,565.995
566.067,566.133
566.2,566.279
566.344,566.411
566.494,566.579
566.652,566.743
566.818,566.911
566.99,567.092
567.161,567.27
567.327,567.391
567.452,567.553
567.62,567.724
567.798,567.883
567.957,568.043
568.115,568.164
568.228,568.302
568.383,568.484
568.545,568.599
568.666,568.738
568.806,568.871
568.949,569.029
569.092,569.149
569.218,569.298
569.365,569.439
569.505,569.583
569.658,569.75
569.827,569.92
570.007,570.109
570.179,570.271
570.349,570.441
570.509,570.602
570.672,570.76
570.832,570.905
570.976,571.059
571.128,571.22
571.297,571.382
571.447,571.541
571.621,571.72
571.789,571.89
571.956,572.053
572.125,572.166
572.996,573.07
573.144,573.225
573.316,573.4
573.474,573.554
573.637,573.726
574.071,574.151
574.251,574.336
574.445,574.528
574.61,574.698
574.703,574.722
574.798,574.893
574.973,575.057
575.147,575.239
575.32,575.419
575.515,575.603
575.684,575.797
575.857,575.944
576.01,576.063
576.139,576.222
576.292,576.385
576.46,576.557
576.632,576.716
576.789,576.884
576.95,577.051
577.112,577.216
577.288,577.426
577.448,577.54
577.623,577.722
577.806,577.888
577.955,578.028
578.099,578.202
578.274,578.365
578.443,578.54
578.627,578.727
578.798,578.889
578.964,579.051
579.123,579.22
