Onset,Offset
18.427,18.472
18.531,18.575
18.65,18.705
38.527,38.579
38.643,38.689
39.316,39.376
107.155,107.206
107.274,107.316
108.476,108.605
108.613,108.744
108.816,108.86
109.17,109.22
109.295,109.321
111.782,111.821
111.887,111.926
112.027,112.058
112.08,112.131
115.779,115.822
115.897,115.943
116.015,116.077
132.318,132.364
132.418,132.465
132.529,132.578
132.667,132.712
134.246,134.308
134.362,134.41
134.491,134.545
134.56,134.569
134.581,134.631
134.641,134.689
135.209,135.264
135.34,135.398
135.505,135.555
135.629,135.694
135.766,135.82
135.892,135.953
136.023,136.119
136.17,136.286
136.304,136.407
136.464,136.57
136.611,136.646
136.656,136.82
136.834,136.935
136.99,137.116
137.163,137.174
137.27,137.311
137.342,137.43
137.438,137.659
138.462,138.557
138.94,138.996
139.067,139.13
139.216,139.261
206.88,206.937
206.956,207.006
207.08,207.136
207.886,207.919
208.23,208.281
208.35,208.413
253.491,253.532
253.582,253.617
253.689,253.74
255.808,255.833
255.845,255.891
255.96,256.004
256.077,256.124
256.211,256.257
256.382,256.439
256.574,256.611
256.702,256.733
256.848,256.922
256.926,256.934
257.449,257.563
257.63,257.686
258.218,258.222
258.501,258.56
259.08,259.213
259.245,259.375
259.377,259.534
259.573,259.638
259.973,260.024
260.095,260.164
260.233,260.315
260.372,260.443
384.311,384.369
384.436,384.48
384.543,384.59
384.654,384.705
391.537,391.598
391.67,391.724
391.795,391.849
391.922,392.005
392.053,392.125
392.24,392.295
392.415,392.482
392.561,392.634
392.747,392.774
393.054,393.07
393.264,393.289
393.375,393.448
393.519,393.612
393.618,393.684
393.74,393.837
393.881,393.982
394.037,394.096
394.163,394.254
394.339,394.426
394.484,394.545
394.572,394.713
394.799,394.893
394.962,395.027
395.032,395.131
396.519,396.578
396.661,396.732
396.812,396.984
396.993,397.031
399.565,399.577
399.613,399.669
399.735,399.784
399.845,399.901
400.044,400.09
400.318,400.349
400.429,400.492
400.562,400.643
400.693,400.726
400.819,400.887
400.9,400.924
401.75,401.833
401.941,402.049
402.443,402.509
402.605,402.685
402.774,402.827
402.885,403.285
403.316,403.372
403.441,403.466
403.504,403.568
403.64,403.719
403.784,403.872
403.904,403.917
403.922,403.94
403.999,404.134
404.142,404.206
404.244,404.311
404.867,404.907
404.953,404.998
405.074,405.143
405.21,405.286
405.361,405.449
405.519,405.61
405.689,405.788
476.09,476.134
476.201,476.248
476.318,476.371
477.848,477.925
477.964,478.009
478.084,478.123
478.221,478.263
478.489,478.5
478.542,478.59
478.72,478.769
478.789,478.806
478.814,478.832
478.909,478.973
479.042,479.109
479.182,479.248
479.312,479.388
479.459,479.542
480.292,480.313
480.374,480.446
480.518,480.597
480.696,480.783
485.119,485.149
485.217,485.291
485.367,485.421
544.288,544.321
544.387,544.438
544.507,544.55
544.623,544.675
546.513,546.598
547.17,547.174
547.559,547.603
548.099,548.175
548.236,548.307
548.38,548.432
549.611,549.672
549.717,549.766
549.84,549.892
549.896,549.906
549.909,549.939
551.968,552.014
552.085,552.132
552.197,552.256
572.577,572.628
572.693,572.745
573.715,573.752
574.377,574.421
575.194,575.262
575.332,575.386
575.473,575.53
575.631,575.653
642.256,642.303
642.391,642.424
642.502,642.544
642.872,642.911
643.003,643.014
643.589,643.64
644.296,644.358
644.389,644.449
644.497,644.579
644.97,645.021
645.542,645.607
645.679,645.873
645.988,646.061
646.142,646.198
948.06,948.099
948.172,948.207
948.576,948.643
948.674,948.705
949.103,949.124
949.155,949.201
949.388,949.401
949.999,950.021
950.06,950.1
952.16,952.233
952.573,952.631
952.727,952.752
953.178,953.246
953.711,953.754
953.804,953.819
953.851,953.915
954.038,954.074
954.268,954.327
954.413,954.467
954.567,954.588
954.591,954.645
954.828,954.917
954.965,955.171
955.235,955.313
955.377,955.627
955.633,955.918
955.96,956.076
956.099,957.169
957.203,957.252
957.272,957.334
957.405,957.463
957.544,957.584
996.155,996.202
996.278,996.328
996.395,996.45
1000.188,1000.226
1000.291,1000.345
1000.445,1000.491
1000.785,1000.842
1001.093,1001.168
1030.297,1030.346
1030.423,1030.466
1030.579,1030.596
1031.415,1031.451
1031.628,1031.667
1031.906,1031.961
1032.067,1032.113
1032.116,1032.15
1032.203,1032.28
1032.392,1032.452
1032.666,1032.693
1032.795,1032.827
1032.86,1032.912
1033.006,1033.049
1033.696,1033.728
1033.936,1034.051
1034.116,1034.198
1034.238,1034.346
1034.389,1034.525
1034.538,1034.636
1034.79,1034.837
1223.312,1223.35
1223.369,1223.417
1223.504,1223.547
1272.765,1272.782
1272.799,1272.846
1272.92,1272.962
1273.914,1273.973
1274.049,1274.1
1274.158,1274.205
1274.394,1274.447
1274.528,1274.603
1275.266,1275.331
1275.417,1275.458
1275.472,1275.512
1279.478,1279.496
1279.814,1279.859
1280.328,1280.396
1280.803,1280.862
1281.08,1281.13
1281.276,1281.298
1281.396,1281.426
1282.023,1282.27
1282.313,1282.322
1282.488,1282.561
1282.631,1282.745
1282.788,1282.899
1282.996,1283.064
1283.139,1283.2
1283.29,1283.366
1283.442,1283.503
1283.577,1283.637
1283.725,1283.796
1283.884,1284.468
1284.5,1284.518
1284.776,1284.796
1284.908,1284.947
1285.234,1285.328
1285.448,1285.636
1285.699,1285.937
1285.997,1286.069
1286.102,1286.346
1286.4,1286.461
1286.547,1286.59
1286.598,1286.62
1286.63,1286.642
1343.108,1343.124
1343.141,1343.198
1343.725,1343.789
1343.891,1343.926
1344.441,1344.496
1417.276,1417.313
1417.389,1417.43
1417.504,1417.552
1417.653,1417.676
1418.172,1418.238
1442.589,1442.593
1442.6,1442.604
1442.749,1442.774
1445.899,1445.942
1446.02,1446.068
1446.176,1446.216
1446.397,1446.413
1446.474,1446.572
1446.736,1446.794
1446.932,1446.986
1447.102,1447.146
1447.27,1447.287
1448.119,1448.187
1448.26,1448.333
1448.415,1448.486
1448.588,1448.656
1504.365,1504.413
1504.725,1504.769
1504.821,1504.866
1505.012,1505.051
1505.371,1505.418
1506.097,1506.12
1506.132,1506.147
1506.169,1506.214
1506.301,1506.346
1507.083,1507.089
1507.299,1508.516
1508.683,1508.73
1508.81,1508.873
1508.92,1508.986
1509.013,1509.079
1509.084,1509.098
1509.17,1509.198
1509.888,1509.951
1510.034,1510.093
1510.101,1510.162
1510.237,1510.354
1510.455,1510.534
1510.854,1510.887
1510.958,1511.056
1511.134,1511.216
1511.289,1511.371
1511.457,1511.522
1530.41,1530.43
1530.489,1530.541
1530.716,1530.751
1530.882,1530.888
1530.899,1530.954
1530.961,1530.965
1530.993,1530.997
1531.06,1531.358
1531.402,1531.435
1531.831,1531.849
1532.33,1532.418
1532.447,1532.558
1532.562,1532.762
1532.798,1532.81
1532.851,1532.914
1532.99,1533.039
1533.156,1533.194
1533.833,1533.842
1534.256,1534.35
1534.443,1534.555
1534.611,1534.623
1534.647,1534.699
1534.702,1534.739
1534.799,1534.855
1534.88,1534.889
1625.833,1625.875
1625.95,1625.995
1626.072,1626.123
1626.202,1626.249
1627.855,1627.921
1628.001,1628.052
1628.158,1628.193
1628.514,1628.531
1628.59,1628.648
1629.149,1629.212
1629.422,1629.494
1629.57,1629.65
1629.727,1629.819
1629.875,1629.999
1630.045,1630.133
1630.201,1630.294
1630.309,1630.399
1630.434,1630.485
1630.516,1630.547
1630.561,1630.699
1630.736,1630.77
1630.785,1630.9
1630.999,1631.093
1631.51,1631.567
1631.64,1631.734
1631.809,1631.892
1631.993,1632.067
1632.141,1632.222
1632.274,1632.287
1632.303,1632.404
1632.52,1632.66
1632.736,1632.835
1632.913,1633.018
1633.407,1633.461
1633.531,1633.621
1633.697,1633.787
1633.848,1633.925
1634.028,1634.1
1634.18,1634.271
1634.349,1634.436
1634.514,1634.6
1634.669,1634.93
1634.962,1635.143
1635.156,1635.192
1635.252,1635.385
1635.48,1635.558
1635.642,1635.748
1635.761,1635.781
1635.833,1635.946
1636.023,1636.139
1636.2,1636.298
1636.387,1636.493
1636.568,1636.648
1636.685,1637.881
1638.125,1638.182
1638.264,1638.322
1638.405,1638.481
1638.568,1638.619
1638.704,1638.785
1639.019,1639.089
1639.161,1639.259
1639.35,1639.432
1639.509,1639.593
1639.686,1639.751
1639.826,1639.915
1639.945,1640.05
1640.083,1640.211
1640.29,1640.379
1640.467,1640.478
1640.488,1640.561
1640.594,1641.092
1641.114,1641.16
1641.4,1641.468
1641.552,1641.637
1641.712,1641.791
1641.88,1641.959
1642.038,1642.165
1642.175,1642.294
1642.298,1642.696
1642.779,1642.878
1642.958,1643.063
1643.141,1643.252
1643.347,1643.505
1643.575,1643.713
1643.761,1643.806
1643.887,1643.935
1644.011,1644.074
1644.144,1644.197
1644.98,1645.044
1645.119,1645.181
1645.258,1645.307
1645.642,1645.706
1645.804,1645.877
1645.974,1646.047
1646.127,1646.192
1646.284,1646.355
1646.445,1646.499
1646.586,1646.677
1646.764,1647.116
1647.184,1647.294
1647.354,1647.453
1647.539,1647.644
1647.705,1647.807
1647.903,1648.006
1648.153,1648.269
1648.499,1648.581
1648.644,1649.476
1649.561,1649.605
1649.678,1649.742
1649.821,1649.902
1649.973,1650.043
1650.055,1650.123
1650.163,1650.241
1650.315,1650.43
1650.477,1650.577
1650.662,1650.741
1650.805,1650.945
1651.033,1651.148
1651.231,1651.34
1651.728,1651.824
1651.903,1652.017
1652.097,1652.145
1652.434,1652.502
1652.53,1652.55
1652.61,1652.697
1652.782,1652.877
1653.225,1653.296
1653.383,1653.448
1653.542,1653.629
1653.717,1653.747
1653.777,1654.927
1654.995,1655.055
1655.08,1655.106
1655.135,1655.898
1656.001,1656.08
1656.159,1656.247
1656.321,1656.417
1656.496,1656.59
1656.614,1657.047
1657.054,1657.417
1657.464,1657.574
1657.595,1658.638
1658.654,1658.668
1658.704,1658.78
1658.863,1658.96
1659.092,1659.14
1659.217,1659.294
1659.359,1659.412
1659.48,1659.555
1659.572,1659.613
1659.641,1659.809
1659.837,1659.903
1659.98,1660.055
1660.12,1660.224
1660.279,1660.373
1660.431,1660.518
1660.581,1660.694
1660.72,1660.78
1660.794,1661.174
1661.25,1661.347
1661.425,1661.527
1661.541,1661.555
1661.607,1661.722
1661.797,1661.89
1661.912,1663.38
1663.405,1663.57
1663.653,1663.814
1663.897,1663.989
1664.345,1664.366
1664.433,1664.505
1664.53,1664.565
1664.597,1664.677
1664.753,1664.876
1664.923,1665.138
1665.158,1665.299
1665.361,1665.48
1665.546,1665.64
1665.666,1666.022
1666.067,1666.217
1666.288,1666.423
1666.489,1666.614
1666.656,1666.749
1666.83,1666.933
1667.007,1667.106
1667.176,1667.267
1667.344,1667.408
1667.485,1667.523
1667.564,1667.664
1667.743,1667.835
1667.85,1667.877
1667.926,1668.042
1668.083,1668.203
1668.246,1668.338
1668.359,1668.508
1668.583,1668.699
1668.759,1668.867
1668.933,1669.05
1669.135,1669.262
1669.325,1669.456
1669.525,1669.583
1669.617,1669.754
1669.775,1669.846
1669.855,1669.98
1670.054,1670.164
1670.241,1670.341
1670.371,1670.464
1670.486,1670.616
1670.695,1670.803
1670.877,1670.987
1671.367,1671.437
1671.493,1674.003
1674.01,1674.1
1674.815,1674.904
1674.977,1675.055
1675.122,1675.227
1675.294,1677.062
1677.064,1677.419
1677.488,1677.606
1677.649,1677.761
1677.828,1677.962
1678.023,1678.147
1678.149,1678.17
1678.223,1678.341
1678.449,1678.543
1678.622,1678.718
1678.734,1678.878
1678.892,1678.993
1678.999,1681.238
1681.326,1681.391
1681.456,1681.528
1681.6,1681.669
1681.744,1681.813
1681.873,1681.96
1682.027,1682.118
1682.187,1682.267
1682.358,1682.468
1682.598,1682.692
1682.726,1683.033
1683.056,1683.135
1683.318,1683.359
1683.401,1683.475
1683.506,1683.859
1683.864,1683.955
1684.001,1684.062
1684.135,1684.217
1684.278,1684.366
1684.383,1684.465
1684.513,1684.733
1684.788,1684.931
1684.942,1684.972
1685.005,1685.135
1685.159,1685.19
1685.218,1685.337
1685.392,1685.514
1685.619,1685.789
1686.37,1686.445
1686.466,1686.513
1686.559,1686.658
1686.723,1687.177
1687.203,1687.365
1687.378,1687.445
1687.449,1687.625
1687.643,1688.041
1688.365,1688.442
1688.552,1688.607
1689.11,1689.177
1689.277,1689.286
1689.298,1689.385
1689.445,1689.554
1689.6,1690.098
1690.114,1690.246
1690.271,1690.373
1690.436,1690.545
1690.571,1690.587
1690.641,1690.738
1690.744,1690.829
1690.868,1691.129
1691.205,1691.297
1691.369,1691.473
1691.529,1691.751
1691.759,1691.914
1692.005,1692.112
1692.188,1692.304
1692.398,1692.507
1692.766,1692.852
1693.351,1693.419
1693.491,1693.591
1693.678,1693.755
1693.885,1693.967
1694.062,1694.142
1694.245,1694.326
1694.735,1694.808
1694.855,1695.091
1695.093,1695.123
1695.134,1695.171
1695.185,1695.309
1695.337,1695.354
1695.399,1695.507
1695.526,1695.802
1695.9,1696.012
1696.113,1696.207
1696.839,1696.917
1697.008,1697.095
1697.178,1697.257
1697.339,1699.621
1699.625,1699.77
1699.792,1699.993
1700.094,1700.199
1700.26,1700.35
1700.414,1700.666
1700.738,1700.861
1700.923,1701.02
1701.036,1701.054
1701.104,1701.196
1701.276,1701.362
1701.444,1701.547
1702.034,1702.102
1702.139,1702.224
1702.265,1702.448
1702.885,1702.911
1703.004,1703.034
1703.128,1703.192
1703.229,1703.311
1703.378,1703.481
1703.519,1703.644
1703.701,1703.806
1703.869,1703.966
1704.157,1704.187
1704.196,1704.289
1704.326,1704.339
1704.941,1705.01
1705.083,1705.158
1705.395,1705.427
1705.496,1705.58
1705.652,1705.74
1705.812,1705.906
1706.006,1706.089
1706.193,1706.242
1706.328,1706.484
1706.563,1706.66
1706.7,1706.715
1706.727,1706.745
1706.77,1706.856
1706.873,1706.879
1706.978,1707.07
1707.129,1707.226
1707.3,1707.454
1707.465,1707.648
1707.7,1707.823
1707.893,1707.993
1708.073,1708.185
1708.257,1708.367
1708.448,1709.637
1709.666,1709.694
1709.963,1709.993
1710.057,1710.12
1710.266,1710.538
1710.614,1710.722
1710.79,1710.885
1710.965,1711.05
1711.106,1711.13
1711.131,1711.159
1711.183,1711.507
1712.277,1712.339
1712.379,1712.468
1712.496,1712.512
1712.553,1712.643
1721.632,1721.682
1721.746,1721.805
1722.046,1722.088
1722.263,1722.324
1722.403,1722.471
1722.55,1722.581
